Index, Time, X, Y, Distance, Speed, vx, vy, X_s, Y_s, Sat_Speed, vxs, vys, Dist_to_Moon
3111, 311100.0000000000000000, 261318146.2919007200000000, 283580451.0990042100000000, 385622932.1849907000000000, 1019.9371920217006000, -745.1918527578135400, 696.3913973136719700, 287380185.7960830300000000, 293442279.8041139800000000, 2302.8566584378650000, 1253.4428453299538000, 1931.8462213133735000, 27865490.6385386740000000
3112, 311200.0000000000000000, 261243627.1066249300000000, 283650090.2387355600000000, 385623659.0203823400000000, 1019.9352817586824000, -745.3734296977539800, 696.1942467995338600, 287505530.0806160600000000, 293635464.4262453300000000, 2302.1240081427318000, 1252.6969698189025000, 1931.4567690408442000, 28096178.4853369440000000
3113, 311300.0000000000000000, 261169089.7636551600000000, 283719709.6634154900000000, 385624386.0279961200000000, 1019.9333710467781000, -745.5549538039687100, 695.9970490118524800, 287630799.7775979600000000, 293828610.1031494100000000, 2301.3992454507479000, 1251.9610568935841000, 1931.0701693576991000, 28326877.0774763260000000
3114, 311400.0000000000000000, 261094534.2682747500000000, 283789309.3683166500000000, 385625113.2077803600000000, 1019.9314598861258000, -745.7364250641917400, 695.7998039651370200, 287755995.8832873100000000, 294021717.1200851800000000, 2300.6821988207157000, 1251.2348640875869000, 1930.6863792087624000, 28557585.7496259770000000
3115, 311500.0000000000000000, 261019960.6257683300000000, 283858889.3487131600000000, 385625840.5596837400000000, 1019.9295482768634000, -745.9178434661613400, 695.6025116738998100, 287881119.3696960800000000, 294214785.7580060400000000, 2299.9727017045407000, 1250.5181567958168000, 1930.3053561833362000, 28788303.8664401210000000
3116, 311600.0000000000000000, 260945368.8414217200000000, 283928449.5998805800000000, 385626568.0836546400000000, 1019.9276362191288000, -746.0992089976198300, 695.4051721526562900, 288006171.1853756900000000, 294407816.2936243400000000, 2299.2705923701624000, 1249.8107079614415000, 1929.9270585188337000, 29019030.8211782050000000
3117, 311700.0000000000000000, 260870758.9205219700000000, 283997990.1170958300000000, 385627295.7796415700000000, 1019.9257237130601000, -746.2805216463137900, 695.2077854159251700, 288131152.2561718200000000, 294600808.9994762500000000, 2298.5757137317701000, 1249.1122977775055000, 1929.5514451028548000, 29249766.0343959930000000
3118, 311800.0000000000000000, 260796130.8683573300000000, 284067510.8956373900000000, 385628023.6475929000000000, 1019.9238107587952000, -746.4617813999939200, 695.0103514782282400, 288256063.4859495800000000, 294793764.1439865200000000, 2297.8879131869676000, 1248.4227134024313000, 1929.1784754738655000, 29480508.9527034240000000
3119, 311900.0000000000000000, 260721484.6902173500000000, 284137011.9307852400000000, 385628751.6874570800000000, 1019.9218973564723000, -746.6429882464151400, 694.8128703540903600, 288380905.7572898300000000, 294986681.9915339400000000, 2297.2070424605777000, 1247.7417486886661000, 1928.8081098206278000, 29711259.0475853050000000
3120, 312000.0000000000000000, 260646820.3913927100000000, 284206493.2178206400000000, 385629479.8991825600000000, 1019.9199835062294000, -746.8241421733364400, 694.6153420580396900, 288505679.9321587100000000, 295179562.8025159800000000, 2296.5329574547663000, 1247.0692039237808000, 1928.4403089805096000, 29942015.8142816870000000
