Index, Time, X, Y, Distance, Speed, vx, vy
11249, 11249.0000000000000000, 1284453.1334191789000000, 6648722.9530842947000000, 6771656.8695423640000000, 7669.3560340562235000, 7529.9507190668355000, -1455.6318715731145000
11250, 11250.0000000000000000, 1291983.0841382458000000, 6647267.3212127220000000, 6771660.2934112055000000, 7669.3521570017510000, 7528.2923646978388000, -1464.1641232251357000
11251, 11251.0000000000000000, 1299511.3765029437000000, 6645803.1570894970000000, 6771663.7114110515000000, 7669.3482866032309000, 7526.6243497431878000, -1472.6944825987666000
11252, 11252.0000000000000000, 1307038.0008526868000000, 6644330.4626068985000000, 6771667.1235375265000000, 7669.3444228656117000, 7524.9466763687888000, -1481.2229387726122000
11253, 11253.0000000000000000, 1314562.9475290556000000, 6642849.2396681262000000, 6771670.5297862561000000, 7669.3405657938310000, 7523.2593467528568000, -1489.7494808277715000
11254, 11254.0000000000000000, 1322086.2068758085000000, 6641359.4901872985000000, 6771673.9301528800000000, 7669.3367153928211000, 7521.5623630859136000, -1498.2740978478512000
11255, 11255.0000000000000000, 1329607.7692388943000000, 6639861.2160894508000000, 6771677.3246330423000000, 7669.3328716675042000, 7519.8557275707826000, -1506.7967789189800000
11256, 11256.0000000000000000, 1337127.6249664652000000, 6638354.4193105316000000, 6771680.7132223919000000, 7669.3290346227923000, 7518.1394424225882000, -1515.3175131298217000
11257, 11257.0000000000000000, 1344645.7644088878000000, 6636839.1017974019000000, 6771684.0959165916000000, 7669.3252042635922000, 7516.4135098687511000, -1523.8362895715900000
11258, 11258.0000000000000000, 1352162.1779187566000000, 6635315.2655078303000000, 6771687.4727113070000000, 7669.3213805947989000, 7514.6779321489867000, -1532.3530973380612000
11259, 11259.0000000000000000, 1359676.8558509056000000, 6633782.9124104921000000, 6771690.8436022112000000, 7669.3175636213018000, 7512.9327115153010000, -1540.8679255255884000
11260, 11260.0000000000000000, 1367189.7885624210000000, 6632242.0444849664000000, 6771694.2085849894000000, 7669.3137533479794000, 7511.1778502319894000, -1549.3807632331152000
11261, 11261.0000000000000000, 1374700.9664126530000000, 6630692.6637217337000000, 6771697.5676553296000000, 7669.3099497797039000, 7509.4133505756308000, -1557.8915995621899000
11262, 11262.0000000000000000, 1382210.3797632286000000, 6629134.7721221717000000, 6771700.9208089281000000, 7669.3061529213346000, 7507.6392148350860000, -1566.4004236169785000
11263, 11263.0000000000000000, 1389718.0189780637000000, 6627568.3716985546000000, 6771704.2680414906000000, 7669.3023627777266000, 7505.8554453114966000, -1574.9072245042794000
11264, 11264.0000000000000000, 1397223.8744233751000000, 6625993.4644740503000000, 6771707.6093487302000000, 7669.2985793537246000, 7504.0620443182788000, -1583.4119913335358000
11265, 11265.0000000000000000, 1404727.9364676934000000, 6624410.0524827167000000, 6771710.9447263656000000, 7669.2948026541653000, 7502.2590141811224000, -1591.9147132168509000
11266, 11266.0000000000000000, 1412230.1954818745000000, 6622818.1377694998000000, 6771714.2741701258000000, 7669.2910326838764000, 7500.4463572379864000, -1600.4153792690008000
11267, 11267.0000000000000000, 1419730.6418391124000000, 6621217.7223902307000000, 6771717.5976757463000000, 7669.2872694476764000, 7498.6240758390968000, -1608.9139786074481000
11268, 11268.0000000000000000, 1427229.2659149515000000, 6619608.8084116234000000, 6771720.9152389681000000, 7669.2835129503765000, 7496.7921723469435000, -1617.4105003523566000
11269, 11269.0000000000000000, 1434726.0580872984000000, 6617991.3979112711000000, 6771724.2268555425000000, 7669.2797631967787000, 7494.9506491362772000, -1625.9049336266039000
11270, 11270.0000000000000000, 1442221.0087364346000000, 6616365.4929776443000000, 6771727.5325212283000000, 7669.2760201916744000, 7493.0995085941040000, -1634.3972675557957000
11271, 11271.0000000000000000, 1449714.1082450286000000, 6614731.0957100885000000, 6771730.8322317908000000, 7669.2722839398511000, 7491.2387531196864000, -1642.8874912682795000
11272, 11272.0000000000000000, 1457205.3469981484000000, 6613088.2082188204000000, 6771734.1259830045000000, 7669.2685544460819000, 7489.3683851245360000, -1651.3755938951583000
11273, 11273.0000000000000000, 1464694.7153832729000000, 6611436.8326249253000000, 6771737.4137706487000000, 7669.2648317151352000, 7487.4884070324142000, -1659.8615645703044000
11274, 11274.0000000000000000, 1472182.2037903052000000, 6609776.9710603552000000, 6771740.6955905128000000, 7669.2611157517686000, 7485.5988212793245000, -1668.3453924303728000
11275, 11275.0000000000000000, 1479667.8026115845000000, 6608108.6256679250000000, 6771743.9714383939000000, 7669.2574065607332000, 7483.6996303135138000, -1676.8270666148153000
